start,end,target,material,description,noise
2023-10-06 15:58:00,2023-10-06 17:58:00,Tenebrio molitor larvae,Rice,2x ,Silence
2023-10-06 18:00:00,2023-10-06 19:30:00,Callosobruchus maculatus,Rice,2x ,Silence
2023-10-06 19:37:00,2023-10-06 20:24:00,Tribolium confusum,Rice,2x ,Silence
2023-10-06 20:25:00,2023-10-06 20:29:00,Tribolium confusum,Rice,2x ,Silence
2023-10-06 20:37:00,2023-10-06 20:41:00,Tenebrio molitor larvae,Rice,2x ,Silence
2023-10-13 17:35:00,2023-10-13 18:18:00,No Insects (Unconfirmed),Rice,,Silence
2023-10-17 16:10:00,2023-10-17 16:14:00,No Insects,,,Silence
2023-10-17 16:14:00,2023-10-17 16:38:00,No Insects (Unconfirmed),Rice,,Silence
2023-10-17 16:38:00,2023-10-17 17:07:00,No Insects (Unconfirmed),Rice,,Noise
2023-10-17 17:07:00,2023-10-17 17:16:00,Tenebrio molitor larvae,Rice,Drilling Noise,Silence
2023-10-21 13:05:00,2023-10-21 13:06:00,No Insects (Unconfirmed),Rice,"Vacuum, Radio",Noise
2023-10-21 13:06:00,2023-10-21 13:52:00,No Insects (Unconfirmed),Rice,,Silence
2023-10-23 03:04:00,2023-10-23 03:14:00,No Insects,Rice,,Silence
2023-10-23 12:26:00,2023-10-23 12:32:00,No Insects,,,Silence
2023-10-23 12:50:00,2023-10-23 13:20:00,No Insects,Rice,,Silence
2023-10-23 19:25:00,2023-10-23 19:35:00,Unknown Insect,Wheat Groats,,Silence
2023-10-23 19:35:00,2023-10-23 19:57:00,Tenebrio molitor larvae,Wheat Groats,,Silence
2023-10-23 21:08:00,2023-10-23 21:16:00,No Insects,Corn Flakes,,Silence
2023-10-23 21:18:00,2023-10-23 21:42:00,Tenebrio molitor larvae,Corn Flakes,,Silence
2023-10-24 13:00:00,2023-10-24 13:10:00,No Insects,Flour,,Silence
2023-10-24 13:13:00,2023-10-24 14:35:00,Tenebrio molitor larvae,Flour,,Silence
2023-10-24 14:45:00,2023-10-24 15:44:00,Tribolium confusum,Wheat Groats,,Silence
2023-10-25 02:18:00,2023-10-25 02:28:00,No Insects,Corn Flakes,,Silence
2023-10-25 15:49:00,2023-10-25 16:01:00,No Insects,Flour,,Silence
2023-10-25 19:31:30,2023-10-25 19:32:00,No Insects,Flour,Tapping,Noise
2023-10-25 19:44:00,2023-10-25 20:41:00,No Insects,Wet Rice,,Silence
2023-11-01 18:10:00,2023-11-01 18:11:00,No Insects,Wheat Groats,,Silence
2023-11-01 18:13:00,2023-11-01 18:14:00,No Insects,Wheat Groats,,Talking
2023-11-01 18:20:00,2023-11-01 18:25:00,Tenebrio molitor larvae,Wheat Groats,,Silence
2023-11-01 18:27:00,2023-11-01 18:29:00,Tenebrio molitor larvae,Wheat Groats,,Talking
2023-11-01 18:31:00,2023-11-01 18:33:00,No Insects,Wheat Groats,,Silence
2023-11-01 18:33:00,2023-11-01 18:34:00,Talking,Wheat Groats,,Talking
2023-11-07 19:22:00,2023-11-07 19:23:00,Noise 60 dB,,,Noise
2023-11-07 19:24:00,2023-11-07 19:25:00,Noise 80 dB,,,Noise
2023-11-07 19:26:00,2023-11-07 19:28:00,Noise 70 dB,,,Noise
2023-11-07 19:29:00,2023-11-07 19:30:00,Noise 90 dB,,,Noise
2023-11-07 19:32:00,2023-11-07 19:33:00,Noise 100 dB,,,Noise
2023-11-08 03:58:10,2023-11-08 04:03:00,Tenebrio molitor,Wheat Groats,,Silence
2023-11-08 04:07:00,2023-11-08 04:11:00,Tenebrio molitor,Corn Flakes,,Silence
2023-12-17 22:04:00,2023-12-17 22:08:00,Ronald Reagan Speech,,,Noise
2023-12-18 19:57:00,2023-12-18 19:58:00,Ronald Reagan Speech - 60 dB,,,Noise
2023-12-18 19:58:00,2023-12-18 19:59:00,Ronald Reagan Speech - 70 dB,,,Noise
2023-12-18 19:59:00,2023-12-18 20:00:00,Ronald Reagan Speech - 80 dB,,,Noise
2023-12-18 20:00:00,2023-12-18 20:01:00,Ronald Reagan Speech - 90 dB,,,Noise
2023-12-18 20:01:00,2023-12-18 20:02:00,Ronald Reagan Speech - 100 dB,,,Noise
2023-12-18 20:08:00,2023-12-18 20:09:00,White Noise - 70 dB,,,Noise
2023-12-18 20:09:00,2023-12-18 20:10:00,White Noise - 80 dB,,,Noise
2023-12-18 20:10:00,2023-12-18 20:11:00,White Noise - 90 dB,,,Noise
2023-12-18 20:11:00,2023-12-18 20:12:00,White Noise - 100 dB,,,Noise
2024-02-12 22:00:15,2024-02-12 22:02:00,No Insects,,,Silence
2024-02-12 22:04:00,2024-02-12 22:08:00,No Insects,Oatmeal,,Silence
2024-02-12 22:10:00,2024-02-12 22:19:00,Tribolium confusum,Oatmeal,,Silence
2024-02-13 18:06:00,2024-02-13 18:16:00,Callosobruchus maculatus,Oatmeal,,Silence
2024-03-30 15:20:00,2024-03-30 15:24:00,,,,Silence
2024-03-30 15:27:00,2024-03-30 15:40:00,Tribolium confusum,Oatmeal,,Silence
2024-03-30 15:42:00,2024-03-30 15:47:00,Tribolium confusum,Oatmeal,2x,Silence
2024-04-14 06:05:00,2024-04-14 06:08:00,No Insects,,,Silence
2024-04-14 06:11:00,2024-04-14 06:25:00,Tribolium confusum,Flour,,Silence
2024-04-14 06:27:00,2024-04-14 06:38:00,Tribolium confusum,Flour,2x,Silence
2024-04-14 16:31:00,2024-04-14 16:41:00,Tribolium confusum,Oatmeal,2x,Silence
2024-04-14 17:38:00,2024-04-14 17:48:00,Tribolium confusum,Wheat Groats,2x,Silence
2024-04-26 03:42:00,2024-04-26 04:02:00,Tenebrio molitor larvae,Oatmeal,2x,Silence
2024-04-26 04:06:00,2024-04-26 04:23:00,Tenebrio molitor larvae,Flour,2x,Silence
2024-04-26 15:39:00,2024-04-26 17:35:00,Tenebrio molitor larvae,Rice,"Multiple, Crowd - 70 dB",Noise
