path,start_offset_sec,label,source,material,noise,split
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,18.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,21.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,24.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,27.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,30.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,33.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,36.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,39.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,42.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,45.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,48.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,51.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,54.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,57.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,60.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,63.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,66.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,69.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_07_42.204_t00100_Ch0_00001.wav,72.0,1,spid,Rice,Silence,val
data\clips\2023_06_21_17_04_45.012_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\4-204115-A-39.wav,0.0,0,esc50,,,val
data\clips\4-204115-A-39.wav,1.5,0,esc50,,,val
data\clips\4-204115-A-39.wav,3.0,0,esc50,,,val
data\clips\5-180156-C-43.wav,0.0,0,esc50,,,val
data\clips\5-180156-C-43.wav,1.5,0,esc50,,,val
data\clips\5-180156-C-43.wav,3.0,0,esc50,,,val
data\clips\1-1791-A-26.wav,0.0,0,esc50,,,val
data\clips\1-1791-A-26.wav,1.5,0,esc50,,,val
data\clips\1-1791-A-26.wav,3.0,0,esc50,,,val
data\clips\5-253085-B-3.wav,0.0,0,esc50,,,val
data\clips\5-253085-B-3.wav,1.5,0,esc50,,,val
data\clips\5-253085-B-3.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_12_51.006_t00100_Ch0_00001.wav,0.0,1,spid,Rice,Silence,val
data\clips\1-84393-A-32.wav,0.0,0,esc50,,,val
data\clips\1-84393-A-32.wav,1.5,0,esc50,,,val
data\clips\1-84393-A-32.wav,3.0,0,esc50,,,val
data\clips\2023_06_21_17_16_12.740_t00100_Ch0_00001.wav,0.0,1,spid,Wheat Groats,Silence,val
